,name,price,pixel,min_iso,max_iso,continuous_shooting_performance,shutter_speed,monitor_size,monitor_pixel,max_num_of_shooting,four_k,wifi,touch_panel,move_panel,weight,width,height,depth,frame_id,maker_id,finder_id,f_value,max_num_of_shooting_with_finder,bluetooth,zoom,min_focus,max_focus,selfie,waterproof,gps,nearest_shot,anti_shake,five_axis_anti_shake,nearest_shot_with_macro_mode,f_value_wide,super_wide,open_year,open_month,camera_type_id
414,EOS Kiss X7i ダブルズームキット,72796,1800,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,False,True,バリアングル液晶,525.0,133.1,99.8,78.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2013,9,3
415,H6D-100c ボディ,4501440,,,,,1/2000〜 秒,3.0,92.0,　,True,True,True,　,,,,,1.0,21,2,,,　,,,,False,　,False,,　,False,,,False,,,3
416,PENTAX K-30 18-135WRキット,58000,1628,,2560,6.0,1/6000〜30 秒,3.0,92.1,,False,False,False,　,590.0,128.5,96.5,71.5,3.0,20,43,,480,　,,,,False,○,False,,○,False,,,False,2012,6,3
417,D5300 18-140 VR レンズキット,75980,2416,,25600,5.0,1/4000〜30 秒,3.2,104.0,,False,True,False,バリアングル液晶,480.0,125.0,98.0,76.0,3.0,3,44,,600,　,,,,True,　,True,,　,False,,,False,2013,11,3
418,D7000 18-105 VR レンズキット,88000,1620,,25600,6.0,1/8000〜30 秒,3.0,92.0,,False,False,False,　,690.0,132.0,105.0,77.0,3.0,3,43,,1050,　,,,,False,○,False,,　,False,,,False,2010,10,3
419,D7100 16-85 VR レンズキット,119299,2410,,25600,7.0,1/8000〜30 秒,3.2,122.9,,False,False,False,　,675.0,135.5,106.5,76.0,3.0,3,43,,950,　,,,,False,○,False,,　,False,,,False,2013,3,3
420,EOS 7D Mark II EF24-70L IS USM レンズキット,219800,2020,,5120,10.0,1/8000〜30 秒,3.0,104.0,270,False,False,False,　,820.0,148.6,112.4,78.2,3.0,4,43,,800,　,,,,False,○,True,,　,False,,,False,2014,10,3
421,EOS Kiss X70 EF-S18-55 IS II レンズキット,47000,1800,,1280,3.0,1/4000〜30 秒,3.0,46.0,190,False,False,False,　,435.0,129.6,99.7,77.9,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2014,3,3
422,PENTAX K-S2 18-50REキット,58680,2012,,,5.5,1/6000〜30 秒,3.0,92.1,,False,True,False,バリアングル液晶,618.0,122.5,91.0,72.5,3.0,20,43,,480,　,,,,True,○,False,,○,False,,,False,2015,3,3
423,D800E ボディ,215000,3630,,25600,5.0,1/8000〜30 秒,3.2,92.0,,False,False,False,　,900.0,146.0,123.0,81.5,2.0,3,43,,900,　,,,,False,○,False,,　,False,,,False,2012,4,3
424,H6D-50c ボディ,2009880,,,,,1/2000〜 秒,3.0,92.0,　,False,True,True,　,,,,,1.0,21,2,,,　,,,,False,　,False,,　,False,,,False,,,3
425,PENTAX K-3 II 16-85WR レンズキット,129800,2435,,,8.3,1/8000〜30 秒,3.2,103.7,,False,False,False,　,700.0,131.5,102.5,77.5,3.0,20,43,,720,　,,,,False,○,True,,○,False,,,False,2015,6,3
426,PENTAX K-S1 ボディ,80000,2012,,,5.4,1/6000〜30 秒,3.0,92.1,,False,False,False,　,498.0,120.0,92.5,69.5,3.0,20,43,,480,　,,,,False,　,False,,○,False,,,False,2014,9,3
427,EOS 5D Mark III EF24-105L IS U レンズキット,409916,2230,,10240,6.0,1/8000〜30 秒,3.2,104.0,200,False,False,False,　,860.0,152.0,116.4,76.4,2.0,4,43,,950,　,,,,False,○,False,,　,False,,,False,2012,3,3
428,EOS 8000D ボディ,76464,2420,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,True,True,バリアングル液晶,520.0,131.9,100.9,77.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2015,4,3
429,EOS Kiss X7 ダブルレンズキット,71500,1800,,2560,4.0,1/4000〜30 秒,3.0,104.0,160,False,False,True,　,373.0,116.8,90.7,69.4,3.0,4,45,,480,　,,,,False,　,False,,　,False,,,False,2013,11,3
430,EOS Kiss X7i EF-S18-55 IS STM レンズキット,88923,1800,,2560,5.0,1/4000〜30 秒,3.0,104.0,200,False,False,True,バリアングル液晶,525.0,133.1,99.8,78.8,3.0,4,45,,550,　,,,,False,　,False,,　,False,,,False,2013,4,3
431,EOS Kiss X80 ボディ,29780,1800,,1280,3.0,1/4000〜30 秒,3.0,92.0,190,False,True,False,　,440.0,129.0,101.3,77.6,3.0,4,45,,600,　,,,,False,　,False,,　,False,,,False,2016,4,3
432,Mamiya ZD ボディ,1382400,2150,,,1.2,1/4000〜30 秒,1.8,13.0,　,False,False,False,　,1200.0,161.5,152.0,90.8,1.0,22,43,,,　,,,,False,　,False,,　,False,,,False,,,3
433,SD1 ボディ,330000,4600,,,6.0,1/8000〜30 秒,3.0,46.0,　,False,False,False,　,700.0,145.5,113.5,80.0,3.0,13,43,,,　,,,,False,○,False,,　,False,,,False,2011,6,3
434,α77 SLT-A77V ボディ,120000,2430,,2560,12.0,1/8000〜30 秒,3.0,92.1,530,False,False,False,3軸チルト液晶,653.0,142.6,104.0,80.9,3.0,1,2,,470,　,,,,True,○,True,,○,False,,,False,2011,10,3
